Date, Open, High, Low, Close
25-09-20,3236.66,3306.88,3228.44,3298.46
24-09-20,3226.14,3278.7,3209.45,3246.59
23-09-20,3320.11,3323.35,3232.57,3236.92
22-09-20,3295.75,3320.31,3270.95,3315.57
21-09-20,3285.57,3285.57,3229.1,3281.06
18-09-20,3357.38,3362.27,3292.4,3319.47
17-09-20,3346.86,3375.17,3328.82,3357.01
16-09-20,3411.23,3428.92,3384.45,3385.49
15-09-20,3407.73,3419.48,3389.25,3401.2
14-09-20,3363.56,3402.93,3363.56,3383.54
11-09-20,3352.7,3368.95,3310.47,3340.97
10-09-20,3412.56,3425.55,3329.25,3339.19
09-09-20,3369.82,3424.77,3366.84,3398.96
08-09-20,3371.88,3379.97,3329.27,3331.84
04-09-20,3453.6,3479.15,3349.63,3426.96
03-09-20,3564.74,3564.85,3427.41,3455.06
02-09-20,3543.76,3588.11,3535.23,3580.84
01-09-20,3507.44,3528.03,3494.6,3526.65
31-08-20,3509.73,3514.77,3493.25,3500.31
28-08-20,3494.69,3509.23,3484.32,3508.01
27-08-20,3485.14,3501.38,3468.35,3484.55
26-08-20,3449.97,3481.07,3444.15,3478.73
25-08-20,3435.95,3444.21,3425.84,3443.62
24-08-20,3418.09,3432.09,3413.13,3431.28
21-08-20,3386.01,3399.96,3379.31,3397.16
20-08-20,3360.48,3390.8,3354.69,3385.51
19-08-20,3392.51,3399.54,3369.66,3374.85
18-08-20,3387.04,3395.06,3370.15,3389.78
17-08-20,3380.86,3387.59,3379.22,3381.99
14-08-20,3368.66,3378.51,3361.64,3372.85
13-08-20,3372.95,3387.24,3363.35,3373.43
12-08-20,3355.46,3387.89,3355.46,3380.35
11-08-20,3370.34,3381.01,3326.44,3333.69
10-08-20,3356.04,3363.29,3335.44,3360.47
07-08-20,3340.05,3352.54,3328.72,3351.28
06-08-20,3323.17,3351.03,3318.14,3349.16
05-08-20,3317.37,3330.77,3317.37,3327.77
04-08-20,3289.92,3306.84,3286.37,3306.51
03-08-20,3288.26,3302.73,3284.53,3294.61
31-07-20,3270.45,3272.17,3220.26,3271.12
30-07-20,3231.76,3250.92,3204.13,3246.22
29-07-20,3227.22,3264.74,3227.22,3258.44
28-07-20,3234.27,3243.72,3216.17,3218.44
27-07-20,3219.84,3241.43,3214.25,3239.41
24-07-20,3218.58,3227.26,3200.05,3215.63
23-07-20,3271.64,3279.99,3222.66,3235.66
22-07-20,3254.86,3279.32,3253.1,3276.02
21-07-20,3268.52,3277.29,3247.77,3257.3
20-07-20,3224.29,3258.61,3215.16,3251.84
17-07-20,3224.21,3233.52,3205.65,3224.73
16-07-20,3208.36,3220.39,3198.59,3215.57
